,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.017003870010375975,0.005330103068614555,0.0032007694244384766,0.0004000664609833946,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
1,0.0066012382507324215,0.0004899014056540585,0.0026009082794189453,0.000489979265096882,1,0.1,poly,"{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.689150350066352,0.705040213947489,0.593423234958961,0.743217008658288,0.7057268612008961,0.6873115337663973,0.050194116003194005,4
2,0.010402441024780273,0.0012003978118457462,0.006201171875,0.0009800266917672528,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.494276887223873,0.4832238193939947,0.5289741005938657,0.5508452974855551,0.5748835848285347,0.5264407379051647,0.0342079675196172,22
3,0.018403959274291993,0.0055363577424459255,0.0034009456634521485,0.0004902518079503424,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
4,0.006601524353027344,0.0004897456867757939,0.002800607681274414,0.0007482390453521319,1,0.01,poly,"{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.5874362252116728,0.6189362158053369,0.5746009262720154,0.6250163986123447,0.6864621438517065,0.6184903819506152,0.038867963794787096,12
5,0.007401800155639649,0.0004899987686270633,0.0040008544921875,0.0006326358965221238,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6795642306003781,0.7538836909902444,0.6027271578646433,0.7122109894968975,0.7133793191030056,0.6923530776110338,0.050633617245493596,3
6,0.01740407943725586,0.0061851305427966415,0.003401041030883789,0.0008003714754355731,1,0.001,linear,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
7,0.012402725219726563,0.0004902128434401034,0.004200601577758789,0.00040011407365504563,1,0.001,poly,"{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.013952172190289103,0.002943955289970046,0.01250685900755888,0.007117082948176479,0.017647485184698608,0.010833510924138623,0.0051964086084526255,27
8,0.006601190567016602,0.0004900571400079585,0.0036010265350341795,0.0004902323237633037,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6083140516893556,0.6617763234440333,0.5656491649695319,0.6261518797294915,0.6791828382423974,0.628214851614962,0.04009705946395918,11
9,0.01700301170349121,0.005178808423472444,0.003201198577880859,0.0003999711504196038,5,0.1,linear,"{'C': 5, 'gamma': 0.1, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
10,0.006400966644287109,0.000489668198814365,0.0028012275695800783,0.0004004480725783094,5,0.1,poly,"{'C': 5, 'gamma': 0.1, 'kernel': 'poly'}",0.689150350066352,0.705040213947489,0.593423234958961,0.743217008658288,0.7057268612008961,0.6873115337663973,0.050194116003194005,4
11,0.009801769256591797,0.0007486853248096223,0.005401515960693359,0.0004899598350408929,5,0.1,rbf,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",0.494276887223873,0.4832238193939947,0.5289741005938657,0.5508452974855551,0.5748835848285347,0.5264407379051647,0.0342079675196172,22
12,0.018404006958007812,0.006217331381318107,0.00380096435546875,0.0009803672893928948,5,0.01,linear,"{'C': 5, 'gamma': 0.01, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
13,0.0068016529083251955,0.0011666783178741695,0.0028005599975585937,0.0004001140736550456,5,0.01,poly,"{'C': 5, 'gamma': 0.01, 'kernel': 'poly'}",0.6785329087915744,0.7020391533500525,0.5971145793374075,0.6977731021709584,0.7086234580646125,0.6768166403429211,0.04109108471247808,10
14,0.009402084350585937,0.0013564661273341306,0.004601097106933594,0.001200350150229351,5,0.01,rbf,"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}",0.6901326342317394,0.7066713193268046,0.5743338648550884,0.7758196785182434,0.6698569000169017,0.6833628793897555,0.06512620079081191,8
15,0.017203521728515626,0.005308102075662262,0.003401327133178711,0.0004900377640788583,5,0.001,linear,"{'C': 5, 'gamma': 0.001, 'kernel': 'linear'}",0.6346086975369069,0.5767468681344173,0.4927471267901048,0.6644226748263413,0.5432752839147835,0.5823601302405107,0.06173135073786633,13
16,0.01200246810913086,3.015782985847835e-07,0.004601430892944336,0.0004899403856509721,5,0.001,poly,"{'C': 5, 'gamma': 0.001, 'kernel': 'poly'}",0.06440786038944857,0.06139252666095307,0.05921839496017611,0.05937445829060706,0.07941362262343576,0.06476137258492412,0.00756182479942038,26
